PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1934,318115248,0.9521975,-0.045489643,-0.14961363,0.26244158,0.08076585,-0.1824643,0.288126
1935,318131915,0.9522061,-0.04510641,-0.15002531,0.2622411,0.17978957,-0.11947553,0.27274323
1936,318148582,0.9522246,-0.044950873,-0.15033077,0.26202548,0.06316454,-0.10630399,0.29427528
1937,318165249,0.95213693,-0.045428682,-0.1510221,0.2618641,-0.016361931,-0.59367776,-0.030076027
1938,318181916,0.9519186,-0.045896504,-0.15178919,0.26213244,-0.1390768,-1.178305,-0.16179085
1939,318198583,0.9516244,-0.045426592,-0.15231755,0.2629752,-0.17221472,-0.94208384,-0.14945698
1940,318215250,0.9512836,-0.044530928,-0.15279071,0.26408434,0.20721394,-0.69719654,-0.18284893
1941,318231917,0.9508417,-0.043036748,-0.15299839,0.26579747,0.013547009,-0.9470571,0.096782684
1942,318248584,0.9501659,-0.04061728,-0.15353389,0.26827505,-0.2052743,-1.3414047,0.5916748
1943,318265251,0.9493561,-0.037630934,-0.15450363,0.2710063,-0.14134178,-1.2703298,0.41701412
1944,318281918,0.94833267,-0.033983033,-0.15594687,0.27422622,-0.48215076,-0.76000124,-0.02124405
1945,318298585,0.94716793,-0.030133564,-0.15762492,0.27771968,0.099234276,-1.0315402,-0.45145988
1946,318315252,0.94593465,-0.026142,-0.15977286,0.28108013,-0.9887673,-1.0357733,0.45143795
1947,318331919,0.9445045,-0.020934163,-0.16298865,0.28445855,-1.6070046,-0.2938444,0.27797222
1948,318348586,0.94313365,-0.015972733,-0.16698965,0.2869972,-1.3853648,1.8091918,0.2844572
1949,318365253,0.9420732,-0.012126851,-0.17250548,0.28740546,-1.9431875,2.6334581,0.41174316
1950,318381920,0.9410707,-0.009316426,-0.17900491,0.2868194,-2.5437446,1.4459131,-0.21304417
1951,318398587,0.9399505,-0.007218471,-0.18509604,0.28668657,-2.9858077,0.39364976,0.23278141
1952,318415254,0.9386976,-0.005585699,-0.19159572,0.28655866,-2.7169952,1.8513266,0.35879993
1953,318431921,0.9375243,-0.006200569,-0.19927216,0.28514817,-1.0547347,2.7831914,0.45854187
1954,318448588,0.9365046,-0.00902514,-0.20818858,0.28203553,0.36310863,0.7293395,0.311368
1955,318465255,0.93527126,-0.011868651,-0.21799363,0.27859405,0.9884646,-1.3245317,0.47070885
1956,318481922,0.93360054,-0.013881195,-0.2282493,0.27587816,1.2343718,-1.2558539,0.5186415
1957,318498589,0.9316225,-0.014764216,-0.23854192,0.27380317,1.7587888,-1.0578458,0.69717884
1958,318515256,0.9295481,-0.013754928,-0.24845828,0.27208188,1.267714,-1.0850878,0.63952446
1959,318531923,0.92721295,-0.012011517,-0.25843635,0.27083507,0.67925096,-0.14463398,0.40187168
1960,318548590,0.92474765,-0.010814087,-0.26871318,0.2693085,0.4014742,0.26833946,-0.023418427
1961,318565257,0.9220656,-0.01012238,-0.27910012,0.26796374,0.6393868,-0.16065748,0.11621857
1962,318581924,0.91921014,-0.009013074,-0.28969678,0.26656383,0.82615864,0.03660594,0.20767593
1963,318598591,0.91607076,-0.007343696,-0.30054477,0.26540944,0.9533947,0.1902208,0.52063847
1964,318615258,0.9128404,-0.004769655,-0.31120545,0.26431033,0.80517143,0.06760048,0.58406734
1965,318631925,0.9094993,-0.001884597,-0.3216822,0.26331913,0.18730296,-9.11E-04,0.16413689
1966,318648592,0.90595734,7.23E-04,-0.332089,0.2626151,-0.23859113,0.088891834,-0.33414936
1967,318665259,0.9023814,0.002751416,-0.34235877,0.2617248,-0.39611056,0.4841913,-0.44541645
1968,318681926,0.8986547,0.004485672,-0.3531631,0.26016197,-0.34259486,0.46994805,-0.09909916
1969,318698593,0.8948014,0.005975011,-0.3643635,0.2579592,0.0416237,0.06949156,-0.082915306
1970,318715260,0.8910251,0.007822793,-0.37497216,0.2557689,-0.077300616,0.08804022,-0.01577568
1971,318731927,0.88728774,0.010052303,-0.38513875,0.25356767,-0.21924251,-0.019280102,0.021226883
1972,318748594,0.8835702,0.011932256,-0.39494115,0.25137952,-0.24632111,0.2128472,-0.09050655
1973,318765261,0.87976843,0.013055272,-0.4047787,0.24899882,-0.10496459,0.36250824,-0.1671753
1974,318781928,0.87586135,0.013332519,-0.4148043,0.24624215,-0.11115143,0.41896445,-0.29522228
1975,318798595,0.8718636,0.013588361,-0.4248057,0.24334809,-0.16479073,0.57211584,-0.27987003
1976,318815262,0.8677906,0.01342779,-0.43496478,0.23994535,-0.29552996,0.614222,-0.010462761
1977,318831929,0.8636481,0.013091116,-0.44515646,0.23618916,-0.052785937,0.86464566,0.12172413
1978,318848596,0.85964006,0.012515386,-0.4550679,0.23191534,0.087735094,1.0520682,0.2329855
1979,318865263,0.85567737,0.011711993,-0.46485132,0.2271589,0.45817026,0.8880003,0.26417923
1980,318881930,0.8518092,0.010695649,-0.4742949,0.22217079,0.824048,0.56704044,0.18800163
1981,318898597,0.84795,0.009573334,-0.48331708,0.2174918,1.2476985,0.16600837,0.062253952
1982,318915264,0.8439912,0.008719796,-0.49204192,0.21332237,1.0951942,-0.490144,0.16485691
1983,318931931,0.8397083,0.008017588,-0.50096554,0.20944741,0.9011797,-1.3509192,0.059432983
1984,318948598,0.8350581,0.008116991,-0.5097996,0.20670189,0.44931245,-1.1406125,0.12687016
1985,318965265,0.83042455,0.009243081,-0.51805437,0.20478812,0.52579856,0.09552647,0.15163708
1986,318981932,0.8260505,0.010891973,-0.5257919,0.20266604,0.40267736,0.86616635,0.13071918
1987,318998599,0.821865,0.012222815,-0.53331155,0.19994044,0.390917,0.9820512,-0.07730961
1988,319015266,0.8179554,0.013025668,-0.54070115,0.19603735,0.24058041,0.44061655,-0.1607523
