PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
467,2351359357,178.5864105,-51.98620605,-22.81415749,0.03545959,0.29196095,-0.041627884
468,2351376024,178.6399078,-51.62940598,-22.85378838,-0.38441893,0.26573226,0.41809082
469,2351392691,178.535141,-51.33123016,-22.89868164,-0.32171395,0.7540158,0.4923334
470,2351409358,178.5239258,-51.10467911,-22.93235397,-0.01315083,1.0447086,0.34660816
471,2351426025,178.7793427,-50.92340851,-22.95523453,-0.045883905,0.4361438,0.5846958
472,2351442692,179.0071716,-50.75474167,-22.88511276,-0.63067293,0.38998893,0.48083115
473,2351459359,179.0808716,-50.57635498,-22.76072121,-0.4953531,0.31888494,0.43693256
474,2351476026,179.0276184,-50.40890884,-22.64697266,-0.26572007,0.2656606,0.37857533
475,2351492693,178.9220428,-50.27547455,-22.52006721,-0.49568623,0.047128096,0.41754436
476,2351509360,178.8323669,-50.22454453,-22.45137596,-0.45264128,-0.2102697,0.81121826
477,2351526027,178.7546234,-50.26347351,-22.4414196,-0.59602624,-0.08143136,0.8589573
478,2351542694,178.5382233,-50.29660416,-22.3523407,-0.54844755,0.3682863,0.15584564
479,2351559361,178.3082581,-50.30498886,-22.20960236,-0.13808551,0.61969066,0.23968697
480,2351576028,178.3334045,-50.37787247,-22.11219788,-0.15928367,0.093100354,0.80986214
481,2351592695,178.4297943,-50.51635361,-22.03047943,-0.5403979,-0.18075643,0.64323044
482,2351609362,178.3961945,-50.6781311,-21.93006516,-0.7387725,-0.041085705,0.38076305
483,2351626029,178.300293,-50.87382507,-21.85524178,-0.43510318,-0.33380687,0.56634235
484,2351642696,178.1193542,-51.11455917,-21.80096626,-0.67358065,-0.25593066,0.43018436
485,2351659363,177.9058228,-51.35137939,-21.76208687,-0.64048815,-0.2796293,0.06124592
486,2351676030,177.7370148,-51.61398697,-21.79353333,-0.31739867,-0.05387411,0.20625114
487,2351692697,177.5563507,-51.91904068,-21.85037041,-0.20334224,0.4053636,0.5164051
488,2351709364,177.4526367,-52.24011612,-21.86981773,0.060030427,0.5979714,0.36654472
