PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
338,2349209314,-8.002466202,-24.96879005,-142.3892059,0.39071697,-0.28203553,0.70287037
340,2349242648,-8.311840057,-23.92408943,-142.528595,0.8074207,0.059662815,0.905077
342,2349275982,-8.33258152,-23.07417488,-142.6313019,0.37366867,0.26960254,0.34084415
343,2349292649,-8.336338043,-22.75646019,-142.6629486,0.23669933,0.58525974,0.734478
345,2349325983,-8.407493591,-22.31823158,-142.7929535,0.4439179,0.31521747,1.0308876
347,2349359317,-8.467759132,-22.16328812,-142.786377,-0.002306911,0.4780199,1.1449451
349,2349392651,-8.459517479,-22.37978363,-142.5815735,0.48326665,-0.03695647,1.3883057
352,2349442652,-8.499147415,-23.37236977,-142.1338959,0.70615214,-0.4255428,1.3684807
354,2349475986,-8.70691967,-24.55130005,-142.2088776,0.49112853,-0.5498462,1.292881
356,2349509320,-9.239124298,-26.09921455,-142.3387756,0.20521931,0.05633253,1.5167007
358,2349542654,-9.640912056,-28.02180672,-142.237915,0.03797379,0.33513388,1.0519323
360,2349575988,-9.94000721,-30.23777962,-141.8546906,0.24965657,0.41540912,0.96891594
361,2349592655,-10.02312279,-31.46069145,-141.6014862,0.35834134,0.4159303,0.7570839
363,2349625989,-10.08720016,-34.11597443,-141.1231537,0.27169535,0.7625468,0.46214294
365,2349659323,-9.951910973,-37.02536392,-140.7741699,0.59963983,0.41992044,0.2573862
367,2349692657,-9.66928196,-40.22889328,-140.3139954,0.22076905,0.15851684,-0.1164875
369,2349725991,-9.449625969,-43.73903656,-139.6476288,0.13020484,-0.23327947,0.07809925
372,2349775992,-10.49647522,-49.22045898,-137.9580841,-0.332164,-0.8273929,0.08167744
374,2349809326,-12.31393242,-52.80244827,-136.2754364,-0.3172422,-1.6678369,-0.43189907
376,2349842660,-14.89256477,-56.38931274,-134.4047394,-0.51524097,-2.0754018,-0.7556095
378,2349875994,-19.20106697,-60.18645859,-132.273468,-0.39307678,-2.0162513,-1.1764078
379,2349892661,-21.97185326,-62.05812454,-130.9558105,-0.5416466,-1.5135858,-1.3545618
381,2349925995,-28.29870605,-65.46972656,-127.6505814,-0.63983285,-0.2755412,-1.8097086
383,2349959329,-35.6035881,-68.686409,-123.2152328,-0.21409576,0.52869296,-1.744914
385,2349992663,-43.49109268,-71.7556839,-117.6877518,-0.0692294,1.3035793,-1.6623297
387,2350025997,-51.14031601,-74.40831757,-111.3632431,0.44866288,2.4757884,-1.563324
388,2350042664,-54.96996689,-75.50610352,-107.6337509,0.61654663,2.648073,-1.220231
390,2350075998,-62.05284119,-76.97013855,-99.92115021,0.17763107,2.8141453,0.4380932
392,2350109332,-67.59325409,-77.48934174,-92.88404846,-0.7220265,2.0121794,1.3744602
394,2350142666,-72.15583038,-77.76133728,-85.89141083,-0.4807765,0.4015172,0.45815468
396,2350176000,-76.37942505,-78.44067383,-78.54363251,-0.038069867,-0.85435706,-0.2938671
397,2350192667,-78.60397339,-78.83168793,-74.85417938,-0.035229478,-1.3701042,-0.29419327
399,2350226001,-82.8387146,-79.26514435,-68.84947205,0.3299919,-2.1988363,-0.23202801
401,2350259335,-85.73554993,-79.20063782,-66.1206131,0.6382925,-2.4176118,-0.1001215
403,2350292669,-88.06776428,-79.0209198,-65.46656799,0.3182205,-1.4647712,-0.023266792
405,2350326003,-88.88602448,-78.8579483,-66.84162903,-0.01043846,0.09934749,0.5367441
408,2350376004,-86.78869629,-78.55051422,-71.31758118,-0.6925647,1.7482039,0.2081995
410,2350409338,-85.15881348,-78.64476776,-73.58074951,-1.0095229,1.4941709,0.23436928
412,2350442672,-83.46012878,-78.79294586,-74.89429474,-1.1666301,1.2184904,-0.10551453
414,2350476006,-81.75092316,-78.96374512,-75.57683563,-0.5943826,0.29243898,0.068743706
415,2350492673,-80.18178558,-79.09360504,-76.64672852,-0.43634215,-0.29579896,0.22025585
417,2350526007,-75.78495026,-79.33052063,-80.42360687,-0.41079697,-1.0097419,0.17919827
419,2350559341,-69.50423431,-79.26902008,-86.86552429,-0.622396,-1.2580818,0.43345547
421,2350592675,-59.38635254,-78.35825348,-97.60105133,-0.548213,-0.9311401,0.17923164
423,2350626009,-51.40881729,-76.88312531,-106.9154663,0.83947754,0.34611103,-0.3072281
424,2350642676,-48.64176941,-76.00214386,-110.6451721,1.0380461,0.14527023,-0.053344727
428,2350709344,-38.69511032,-71.98369598,-122.6018524,0.12004638,1.5463331,0.035570145
430,2350742678,-35.61710358,-69.72396851,-125.5919113,0.69941586,1.4746027,0.035510063
432,2350776012,-32.01074219,-67.22997284,-128.6183319,0.12959847,-0.046880502,-0.70392036
433,2350792679,-29.37614822,-66.10177612,-130.3677826,0.09223854,-0.6763902,-1.5266552
435,2350826013,-24.78344536,-64.04248047,-133.5010834,0.4709954,0.2669309,-1.3806868
437,2350859347,-21.0000515,-61.81097412,-136.0158539,0.3797637,0.11621791,-0.9382229
439,2350892681,-17.87988472,-59.0247612,-137.6615448,0.5873685,-0.021031005,-0.910655
441,2350926015,-14.95474529,-56.16773987,-139.0989685,0.6114792,-0.61756253,-1.2767429
442,2350942682,-13.67425728,-54.71648026,-139.6827545,0.94553614,-0.70311207,-0.99373055
444,2350976016,-12.12966347,-51.66013336,-140.4937134,0.39429477,-0.9067745,-1.1284103
448,2351042684,-9.417888641,-45.54825974,-143.0480347,-0.48333392,-0.1888842,-0.1385622
450,2351076018,-9.585326195,-42.48825455,-143.3096466,0.043449577,0.437075,0.29482841
451,2351092685,-9.42056942,-40.89704132,-143.2043304,-0.24501881,-0.33961362,0.018094063
453,2351126019,-8.881781578,-37.921875,-143.0161591,-0.1467886,-0.8470504,-0.24133396
455,2351159353,-8.972630501,-35.10929489,-143.3252716,0.6421164,-0.9357934,0.92253685
457,2351192687,-8.62100029,-32.47053528,-144.1613312,-0.6725865,-0.24554586,-0.6963177
459,2351226021,-8.625240326,-29.94762421,-144.8192444,1.1695962,0.9080078,0.624856
460,2351242688,-8.677750587,-28.68095207,-144.9149933,1.2412088,0.7988522,0.51020813
462,2351276022,-8.296305656,-26.46606255,-144.9819489,-0.049025375,0.7031216,0.24697685
464,2351309356,-8.288013458,-24.51997566,-145.273819,0.59056985,0.066640384,0.89013577
468,2351376024,-8.388113022,-21.38370132,-146.0871124,-0.15405864,-0.17612498,0.7129803
469,2351392691,-8.492032051,-20.72032928,-146.0736542,0.052717816,0.35768607,0.86100674
471,2351426025,-8.769522667,-19.65678787,-145.920639,-0.14566395,0.99974364,1.372859
473,2351459359,-8.513367653,-19.02354813,-145.9120331,-0.33893615,0.6810139,1.4220266
475,2351492693,-8.058506012,-18.74712563,-146.0054321,0.22139752,-0.30057272,0.89379597
477,2351526027,-8.17650795,-18.58215332,-145.8761749,0.43292132,-0.7799595,1.2026615
