PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1250,1228840556,-135.2147522,-83.02275848,-51.01477814,-0.10315219,0.49014783,0.9177151
1251,1228857223,-134.0959167,-83.35940552,-52.2758522,0.038856853,0.49135926,0.7654762
1252,1228873890,-132.4819641,-83.7878952,-54.09065247,0.17737359,0.5300317,0.7861042
1253,1228890557,-129.8634491,-84.35430908,-56.98402786,0.06186918,0.2759339,0.74333096
1254,1228907224,-125.5966873,-85.0405426,-61.56590652,-0.37319866,-0.22011524,0.4794426
1255,1228923891,-119.6194687,-85.74435425,-67.82805634,-0.68718225,-0.59244466,0.18800735
1256,1228940558,-111.5525131,-86.38231659,-76.14634705,-0.8380291,-0.6222461,0.097745895
1257,1228957225,-99.78151703,-86.91555023,-88.16416168,-0.9255957,-0.3132904,0.11872578
1258,1228973892,-83.00222015,-87.25997925,-105.2845917,-1.0977739,0.1226662,0.08618164
1259,1228990559,-62.46440125,-87.29767609,-126.3358688,-1.1659975,0.46978143,-0.0735445
1260,1229007226,-43.51342773,-86.99124146,-145.9390259,-1.0511208,0.48050827,-0.21438885
1261,1229023893,-29.42791748,-86.47840881,-160.7404175,-0.9487747,0.43177125,-0.191082
1262,1229040560,-19.41833878,-85.86621094,-171.5427094,-0.6674702,0.35577142,-0.2187767
1263,1229057227,-11.88066292,-85.16216278,-179.9695435,-0.14082688,0.10157792,-0.056794167
1264,1229073894,-5.457563877,-84.25608063,172.6995544,0.2139383,-0.049442463,0.7375784
1265,1229090561,-0.158748031,-82.88801575,166.6059113,0.6077072,0.093546376,1.483388
1266,1229107228,3.247561455,-81.05519104,162.5662384,0.7571388,0.6518238,1.0972862
1267,1229123895,4.892116547,-79.0541153,160.5454712,0.84151524,1.3270434,0.20969486
1268,1229140562,5.50393486,-77.16326904,159.864975,0.97739,1.6507698,-0.49766064
1269,1229157229,5.902831078,-75.50862885,159.6463165,1.0552664,1.8411691,-0.8072252
1270,1229173896,6.513906002,-74.04920197,159.4844971,1.1235694,1.9776657,-0.50617695
1271,1229190563,7.389151573,-72.61869812,159.4311676,0.4854354,1.7705227,-0.14269161
